feature,group,importance_mean,importance_std
ΔΔLFCC15 (desvio),LFCC,0.00033767486734197493,0.0008299397266804059
ΔΔLFCC14 (média),LFCC,0.00033767486734197493,0.0005195528033896925
ΔΔLFCC9 (média),LFCC,0.00033767486734197124,0.000552123644103181
ΔLFCC2 (desvio),LFCC,0.00033767486734196755,0.0011476485531471477
ΔLFCC17 (desvio),LFCC,0.00033767486734195644,0.000829939726680407
ΔΔLFCC1 (desvio),LFCC,0.00028943560057882826,0.0006082740093062194
ΔLFCC4 (média),LFCC,0.00028943560057882826,0.0006631802742338151
ΔΔLFCC10 (média),LFCC,0.00026531596719726235,0.00047571352926470374
ΔLFCC14 (média),LFCC,0.0002653159671972586,0.0004374905245348654
ΔLFCC19 (desvio),LFCC,0.0002653159671972475,0.0021423068688650932
RASTA-PLP13 (desvio),RASTA-PLP,0.0002653159671972401,0.0012600055848151358
LFCC15 (média),LFCC,0.00024119633381569267,0.0009767707058039692
ΔLFCC16 (média),LFCC,0.00024119633381568898,0.0005059376981042378
LFCC6 (desvio),LFCC,0.00024119633381568527,0.0011717277184265316
ΔΔLFCC18 (desvio),LFCC,0.00021707670043411934,0.00042398446288580485
MFCC1 (desvio),MFCC,0.00021707670043411194,0.0016516226064418615
ΔLFCC4 (desvio),LFCC,0.0001929570670525423,0.0010049525642064337
RASTA-PLP1 (média),RASTA-PLP,0.00016883743367098006,0.0004829952820670425
RASTA-PLP13 (média),RASTA-PLP,0.00016883743367098006,0.0005505408688139305
LFCC16 (desvio),LFCC,0.00016883743367097266,0.0008699801638625694
RASTA-PLP12 (desvio),RASTA-PLP,0.00016883743367097266,0.0009830045283316222
RASTA-PLP3 (desvio),RASTA-PLP,0.00016883743367097266,0.0009092174059320019
MFCC11 (desvio),MFCC,0.00014471780028940301,0.0008842403656451059
ΔLFCC8 (média),LFCC,0.00014471780028939933,0.0006839096420046976
RASTA-PLP3 (média),RASTA-PLP,0.00014471780028939933,0.0006308102667931245
ΔLFCC19 (média),LFCC,0.00012059816690784449,0.0003280624821209399
ΔΔLFCC2 (média),LFCC,0.00012059816690783339,0.00046080494873472207
ΔΔLFCC18 (média),LFCC,9.647853352627856e-05,0.0002459729625466551
RASTA-PLP11 (média),RASTA-PLP,9.647853352627116e-05,0.00036098961763373434
ΔΔLFCC6 (média),LFCC,7.235890014469781e-05,0.00038966460254226886
ΔLFCC6 (média),LFCC,7.235890014469041e-05,0.0005398704603376362
RASTA-PLP9 (média),RASTA-PLP,7.235890014468301e-05,0.0007077376146223212
ΔΔLFCC20 (desvio),LFCC,7.235890014467931e-05,0.001094988853141926
RASTA-PLP7 (desvio),RASTA-PLP,7.235890014467931e-05,0.0007554490961584834
MFCC7 (média),MFCC,7.235890014466821e-05,0.0011108132117384798
LFCC12 (desvio),LFCC,7.235890014466821e-05,0.0018715654350763469
ΔΔLFCC6 (desvio),LFCC,4.8239266763098566e-05,0.002129642069912604
LFCC4 (desvio),LFCC,-2.4119633381610348e-05,0.001340539626781499
